narrative,product,cluster
print iconprint report potentially negative show tooltip button xxxxdispute xxxxdispute xxxxdispute dept dept dept dept xxxxdispute,credit_reporting,Other
wrong inaccurate fraudulent account reporting account,credit_reporting,Identity Theft & Fraud
victim identity theft send required item month cant imagine cant prove fact victim need provide blood type consumer need type protection right macys account mine charge mine account maintained without consent never made payment account fact victim cant fraudulent account removed credit profile,credit_reporting,Identity Theft & Fraud
currently credit freeze account well wife attempted log account four month continually receive error say temporarily unable complete request called used phone service also say unable verify mine wife dentity finally able get someone phone reset password account still get error claimed one else complained error cant anything wouldnt look account told would need fax mail request get security feeeze removed fax machine access one willing put personal information mail stolen mi delivered,credit_reporting,Other
ongoing problem continue submit complaint enforced negatively reported credit additional balance info see attachment additionally sent check admission error sent back check letter longer enforceable relationship note mortgage holder previously submitted complaint cfpb authority influence stopping harassment false credit reporting fraud etc enforce damage fine reporting credit report submission court decision would like fine damage continue harass important note previous complaint per judicial district court new mexico court order order state mortgage note case closed denied motion order plaintiff motion clarification relief order dismissal case dismissed prejudice order statute limitation defense,credit_reporting,Identity Theft & Fraud
sent dispute company already filed complaint cfpb pertaining matter please look complaint attached proper identifying document exact info credit report refusing investgate time turn cfpb job power matter refusing accept dispute uncooperative blatantly ignoring cry help dont know im man im texas sent letter several occasion refusing respond called told received letter still response response negative information erroneously included credit report advised two separate occasion day day ago investigation took longer day direct violation fair credit reporting act section well aware federal law requires respond within day yet failed respond failure comply federal regulation credit reporting agency investigated federal trade commission see usc et seq maintaining careful record communication matter purpose filing complaint ftc continue remind wenger trans union liable willful please remove fraudulent account knowledge account due equifax data identity theft investigated ftc,credit_reporting,Identity Theft & Fraud
account closed opened collection demandingi pay,debt_collection,Other
cease desist dispute chase card service acct ending letter response phone call letter receiving according fair debt collection practice act usc section c ceasing communication must stop communication receiving letter longer wish communicate therefore call home work cell phone location chase account responsibility allow say attempting collect debt legal obligation pay received ceasing communication letter accordance federal fair debt collection act may contact inform collection effort notify specific action taken please advised well aware right know contact company except communication confirming contact except notification specific action intend take violation fair debt collection practice act also aware contact make party concerning also violation fair debt collection practice act specifically section b regard mi,credit_card,FDCPA Violations
account usaa closed bad debt company called acct ending trying collect debt wrong according federal law,debt_collection,Other
dear cfpb please find complaint sham conduit concealed owner reinstated different name via fictitious buyer default debt sell investor bet image someone data identity theft submitted application mortgage posed lender never lender passed information via dishpan intermediary actual originator big investment bank particularly one owner federal reserve bank actual lender behind scene along big bank read federal reserve operates ponzi scheme derivative via big bank version fictitious mortgagee application processed owned owned instantly fraudulently placed undue hardship intentionally assigning property flood zone never result machination pay additional fema allowed use form defraud borrower solely extort money push foreclosure fema agreed refund part stolen money pocketed rest least plus proceeds trade identity undisclosed time posed lender forged respa document conceal information actually singed disclosure pacific time zone cloud server owned closing believed mortgage aka payment financial service pier operate separate securitization scheme based data mortgage conducted falsely posed issuer lie sham conduit actual issuer bog title insurance policy cover purported mortgage designated lender branch actual originator servicers loan intentionally destroy property title serve interest wall street bank deceptively sold title insurance policy actual issuer refuse cover damage broken subsidiary pretend dont know fraud also refuse fulfill obligation policy lied issued continued act lender purported servicer loan led believe sold someone appointed new servicer lie never lent money anyone never serviced loan need say never sold loan anyone never purchased anyones loan never pooled trust fiction promoted medium defraud borrower investor according fully based forward looking statement never say following guaranteed stripped security sold time time one series represent interest separate established time trust comprised primarily fully modified certificate series issued two class class security series evidence interest future principal payment interest future interest payment trust asset included related trust trust created issue classified grantor trust issued maintained form system federal reserve bank system initially registered name federal reserve bank new york together successor depository selected depository system electronic facility operated federal reserve bank maintaining security account effecting transfer system gross settlement system allows simultaneous transfer security payment system used clear settle pay also treasury marketable debt instrument majority security issued government agency government sponsored enterprise security issued mortgage ownership subject rule procedure governing participant effect time time maintain evidence interest participant appropriate entry book record participant eligible maintain bookentry account directly beneficial owner participant system generally evidence interest appropriate entry book record one financial intermediary beneficial owner must rely upon procedure evidence beneficial ownership may transfer beneficial ownership complies procedure appropriate financial intermediary correspondingly beneficial owner must depend upon financial intermediary including depository holder enforce right respect issued certificated form unless otherwise noted applicable offering circular supplement trust issue word perform something someone sell mortgage never happened people still dont believe loan securitized treated though securitized securitization mean selling asset pro rata share investor get piece paper telling x asset read prospectus securitization document forward statement meaning referencing future event none securitization document convey ownership equitable legal interest debt note mortgage future event never occurs thats point banker since never retain interest debt note mortgage face exposure risk loss liability violation federal state statute issuer lender even though foreclose various intermediary usually bank appearing solely trustee nonexistent trust still receive net money proceeds loan account receivable credit receive sale proceeds soon signed promissory note scanned converted image passed member federal reserve placed image personal data placed provide password various sham conduit like later fake servicer whose sole duty pose window dresser federal reserve member actual player operate giant scam image based bet performance someone data mortgage mi invested pensioner money fraud received electronic image someone computer screen performance someone loan sold performing defaulted time different player mortgage payment along escrow money pocketed broker revenue since one loan asset account receivable tax insurance paid investor money operating fund held federal reserve bank similarly fake servicers make servicers advance trust big bank merely return investor part capital masqueraded servicer advance ponzi scheme finest according became lie prepared allonge note purportedly never placed account time question data loan held transferred various party multiply time without disclosure approached another branch action branch whose founder pretended new servicer buyer loan asked sold loan sold exploded absurd contradicting lie requested help sen senior vp seasoned security fraudster whose cevy chase robbed insurer investor lied backed loan lied refuse provide name seller loan lied hold loan security ever formed securitization loan never happened mean claim right authority administer collect enforce debt note mortgage completely utterly false based upon securitization subject loan like gses merely agreed cover federal reserve owner well fargo etc crime pr machine convinced virtually everyone including borrower loan securitized hundred appellate decision referring loan portfolio exist treated real nonetheless bulletin announcement phrased order avoid indictment civil liability outright lying investor public referring loan portfolio reference pool never formed since nobody sold loan everything done party big bank aka federal reserve branch never appeared respa tile must kept hidden homeowner investor even allowed proof investment investor pay image someone computer screen regarding state issued form class series certificate initially issued facility global security representing certificate transferred except whole nominee nominee another nominee thus nominee registered holder certificate considered sole representative beneficial owner certificate word may distribute beneficial ownership beneficial owner case direct indirect participant completely managed controlled regulated benefit neither never owned anyones debt simply nobody allow never initiated loan dont money loan never serviced mortgage since big bank well aware executive merely foreclosure title laundering vehicle big federal reserve whose sole purpose pretend buyer read passed data loan new player via new password database relentlessly lie borrower massively commit fraud upon court promoted enabled judge government course familiar crime exactly operates federal reserve member via branch initiate illegal foreclosure trust forged document according also known specialist united state financial institution process transfer stock certificate behalf central security depository used united state includes new york exchange together associated clearinghouses others technically owns substantially publicly issued stock united state thus investor hold direct property right stock rather contractual right part chain contractual right involving formed purpose efficiently processing transfer stock certificate behalf company new york new york partnership certain employee yes security created issued sold traded fact indenture indeed reference group data derived announcement investment bank referring performance loan securitization loan securitization proprietary data relating performance loan ownership loan required speak securitization loan loan go could reasonable basis dispute whether loan extinguished simply became inchoate sleeping pending reformation transaction designated virtual creditor replaced real one required law doesnt give unfair windfall homeowner reneged promise pay absolutely fact reveals exactly opposite lender security brokerage firm business investment bank actually issuer security sold without cooperative signature homeowner together detailed personal information homeowner resulting sale security produce windfall investment bank equal average time time time principal paid thus far homeowner word owns received least revenue trade data loan merely contributed one time payment bear risk transaction received least time profit trading date loan time homeowner required disclosed part deal repay principal paid mean homeowner receive consideration concealed part securitization deal addition homeowner unknowingly taken risk investment bank dumped putative lender really sole business reason transaction issuance security without would near lending individual homeowner security merrier larger windfall investment bank without giving conveyance debt note mortgage never see investment bank grantee recorded conveyance since investment bank risk loss care future performance alleged loan transaction one fact remove basic balance person characterized borrower person characterized lender according federal state lending law basic common sense lender sophisticated financial enterprise charged legally determining viability loan risk loss without risk loss interest remaining getting borrower submit personal data homeowner sign documentation promising pay back consideration plus interest received concealed involuntary participation securitization scheme contract law classic example failure element enforceable contract meeting mind borrower intent lending intent contract homeowner deprived opportunity receive benefit bargaining share securitization scheme participate therefore conclusion homeowner owes nothing contract failure b entitled quantum meruit law reasonable compensation concealed securitization scheme could never existed homeowner signature personal data mean mean none investor bought traded swap certificate security ever acquired interest loan none acquired ownership debt note mortgage none ever acquired legal right administer collect enforce debt note mortgage mean document suggesting contrary fabricated false thus circumstance servicer trustee trust investor including possesses right title interest administration collection enforcement loan dump risk theory behind securitization perfectly sound legal moral politically expedient intended attract investment reducing risk took one step completely eliminated risk order completely eliminate loan account general ledger company involved securitization process loan account cover fraud doesnt exist nobody loses money homeowner stop paying homeowner pay contributing bonus largely untaxed profit investment bank apt description happens money homestead forced sale entry ever made decreasing amount receivable receivable part completely counterintuitive nearly everyone also reason foreclosure consistently attempt get discovery information would obviously lead admissible evidence court thousand foreclosure case pushed back burner year one year old result lawyer pro se litigant experimenting concept concept simple claim brought homeowner either directly indirectly asserts designated claimant exists real world possesses claim homeowner homeowner say ok tell exist acquired claim foreclosure mail refuse answer know truth kill claim sheer force perseverance infinitely deep pocket investment bank continues litigating claim absolutely merit case government regulator sleeping cost defending baseless claim fall onto homeowner lack resource time money energy preserve largest asset owns demand full disclosure serviced real lender behind transaction based evidence federal reserve table pool operated owner demand compensation fraud royalty trade punitive damage least,debt_collection,Identity Theft & Fraud
