narrative,product,root_cause,regulatory_violation,consumer_harm,severity,recommended_action,key_phrases,confidence
print iconprint report potentially negative show tooltip button xxxxdispute xxxxdispute xxxxdispute dept dept dept dept xxxxdispute,credit_reporting,Credit Dispute,FCRA,Reputational,low,investigate,"['potentially negative', 'xxxxdispute', 'print report']",medium
wrong inaccurate fraudulent account reporting account,credit_reporting,Identity Theft,FCRA,financial,high,investigate,"['fraudulent account', 'inaccurate reporting', 'wrong account']",high
victim identity theft send required item month cant imagine cant prove fact victim need provide blood type consumer need type protection right macys account mine charge mine account maintained without,credit_reporting,Identity Theft,FCRA,reputational,high,investigate,"['victim identity theft', 'fraudulent account removed', 'maintained without consent']",high
currently credit freeze account well wife attempted log account four month continually receive error say temporarily unable complete request called used phone service also say unable verify mine wife ,credit_reporting,Freeze Management,FCRA,time-based,high,investigate,"['temporarily unable complete request', 'unable verify mine wife dentity', 'get security feeeze removed']",high
ongoing problem continue submit complaint enforced negatively reported credit additional balance info see attachment additionally sent check admission error sent back check letter longer enforceable r,credit_reporting,Inaccurate Reporting,FCRA,Reputational,high,investigate,"['false credit reporting', 'no longer enforceable', 'harassment']",high
sent dispute company already filed complaint cfpb pertaining matter please look complaint attached proper identifying document exact info credit report refusing investgate time turn cfpb job power mat,credit_reporting,Dispute Resolution,FCRA,Reputational,high,investigate,"['refusing investgate', 'erroneously included', 'uncooperative blatantly ignoring']",high
account closed opened collection demandingi pay,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
cease desist dispute chase card service acct ending letter response phone call letter receiving according fair debt collection practice act usc section c ceasing communication must stop communication ,credit_card,API Error,Unknown,Unknown,Unknown,Manual Review,,low
account usaa closed bad debt company called acct ending trying collect debt wrong according federal law,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
dear cfpb please find complaint sham conduit concealed owner reinstated different name via fictitious buyer default debt sell investor bet image someone data identity theft submitted application mortg,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
may concern writing dispute fraudulent charge account amount victim identity theft make authorize charge requesting charge removed finance charge related fraudulent amount credited well receive accura,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
writing delete following information file item need deleted listed report victim identity theft make charge ask item deleted correct credit report reported theft identity federal trade commission also,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
noticed credit report reflecting late payment account account paid time month balance owed incorrect see enclosed documentation accordance federal fair credit reporting act fcra respectfully request i,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
received letter demanding settlement attempted shake debt discharged chapter bankruptcy attempted contact entity validate matter unwillingly invalid due discharge afforded company trying perpetrate fr,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
received bank statement boa account never opened contacted boa issue told account closed subject identify theft check credit report found boa account credit reporting agency boa also sent statement an,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
subject violation truth lending act tila ref fcra fcba infringement chase pursuant subject reference cardmember service chase bank credit reporting company advised charge shown due credit history repo,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
successfully discharged chapter bankruptcy back know credit terrible right bankruptcy credit report quite time auto loan soft inquiry approval clearly stated went banked year impression also soft inqu,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
sent separate letter asking company stop contacting purpose validating debt despite legal request company repeatedly contacted attempt collect debt via phone email call multiple time despite asking ph,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
