narrative,product,risk_label
pnc point visa pnc bank credit card xxxxxxxxxxxxxxxx balance limit tried closing account balance never allowed close problem person used credit card help close account even repeatedly asked close say take action try jacking credit card even,credit_card,low
morning received phone call time et et synchrony bank sleeping answer also going get taken care however know called many time one minute harassment thank time,credit_card,medium
received amex serve card prior covid stimulus check sent activated heard check going soon attempted activate card subsequently locked account security purpose kept directed website call automated service activate card nowhere automated menu option activate card spent hour hold trying reach human one evening call simply rejecting new call hanging way accessing account information without first activating card even though already set american express serve account want use card want transfer money actual bank account,credit_card,low
complaint relates violation cfpb regulation regarding allocation payment expiring promotional balance link applicable regulation http b relevant credit card issuer citibank na balance two different promotional offer credit card statement balance apr offer expiring balance apr offer expiring made payment credit card intention clearing balance scheduled expiration however upon receiving statement became clear payment largely applied towards offer expiring violation referenced cfpb regulation result incorrect allocation balance transferred standard purchase corresponding interest rate starting incur high interest charge statement contacted citibank na customer service phone resolve issue initial response well allocate payment informed allocation violation federal regulation told would escalated supervisor would call back receive call back several week upon made follow call told matter still investigation nothing happened another week received letter citibank dated stating request payment allocation denied attached following supporting document statement statement statement citibank letter denial dated,credit_card,low
received email checking account bank indicating account overdrafted saw bank america took called bank america asked payment amount told accidentally set automatic payment due date previous account balance requested payment sent back checking account monday called see going refund told request system would take business day process called monday get update told amount refunded transaction needed approved fraud department called later week informed fraud department approved refund told would take another business day refund would process back checking account called approximately time check refund yet posted account asked speak manager several occasion told someone call never received call return also began noticing every time called would disconnected call would fail got point would call row disconnected different stage call monday called spoke bank america confirmed refund approved activity account process refund since assisted submitting complaint bank america told manager would call back follow processing refund never received phone call back wednesday called told different associate refund still looked never approved sorry whoever misinformed asked speak manager called failed yet called different phone number able finally speak service member named florida asked could point boa policy explains refund process unable find boa website also unable provide kind written documentation either confirming refund explaining process finally able get clear answer refund could take additional business day refund top usual business day told expect refund latest,credit_card,low
prepaid vacation friend period due confusion payment credited rebilled effective date attached copy original reservation confirmation copy payment however arrived could find evidence payment system demanded make full payment would allow entire party stay provided staff evidence full payment form reservation confirmation copy chase credit card statement showing payment refused honor reservation immediately called chase could resolve issue chase representative spoke directly hotel representative let know fact pay full amount entire stay hotel representative repeated never received payment despite assurance chase compromise others relying effort agreed pay one night assurance hotel staff issue would resolved next morning one night payment would either refunded credited next morning attempted confirm issue resolved front desk staff demanded pay remaining night despite effort informed would honor original reservation shockingly unable get anyone review evidence payment entire discussion chase representative never happened response front desk staff pay leave past year respectfully insisted chase customer relation team revisit charge payment processing occurred chase merchant merchant bank resolve issue refund charge amounting service never received stated credit card benefit agreement chase serious lack customer service help often time closing case without follow made open case case chase advice take merchant provided info merchant unable locate money willing refund money could locate chase unwilling talk merchant merchant bank help get resolved merchant advised email evidence request chase reverse transaction chase financially responsible error occurred internally party consumer everything supposed view breakdown internal process chase bank party transact,credit_card,low
contacted discover never received paid using discover stated never placed dispute know agent subsequently pushed dispute charge merchant received confirmation dispute promptly called freaking said would suing overturn dispute contacted discover asked help asked specifically dispute could put hold recourse could follow completing work house payment installation window back door new siding home discover overturned dispute merchant said would complete work never heard contacted discover note come work subsequently received notice intending file bankruptcy discover repeatedly said nothing help way dispute charge second time impression could chargeback stating possible even though provided documentation work ever completed email merchant directly stating wo work home still maintaining nothing never communicated would able dispute charge total paid merchant discover discover blatantly refused help additionally discover deleted evidence account message sent stating specifically never disputed anything know process falsifying evidence support refusal process dispute,credit_card,high
cease desist dispute chase card service acct ending letter response phone call letter receiving according fair debt collection practice act usc section c ceasing communication must stop communication receiving letter longer wish communicate therefore call home work cell phone location chase account responsibility allow say attempting collect debt legal obligation pay received ceasing communication letter accordance federal fair debt collection act may contact inform collection effort notify specific action taken please advised well aware right know contact company except communication confirming contact except notification specific action intend take violation fair debt collection practice act also aware contact make party concerning also violation fair debt collection practice act specifically section b regard mi,credit_card,low
capital one credit card account charged annual fee saw fee account called address issue told refund fee without canceling account agreed cancel account transferred supervisor supervisor told would lose reward associated account could check sent address asked instead value credited account told okay asked confirm money added account told conversion value reward surprised low value asked option said late already confirmed position dispute reward requires leave account open mean going charged fee feel like held credit card company bad enough going impact credit score dispute fee monetary value involved low behavior capitol one case feel predatory,credit_card,low
issue rebilled charge credit card walmart capital one failed rectify issue received correspondence capital one stating credit account interest rebilled charge credit card however seen credit besides one amount charge still credited seen yet received correspondence stating charge rebilled interest credited back havent received none lost correspondence stating cant find online profile provide proof,credit_card,low
